C1FA4,C1FA3,C1FA2,C1FA8,C1FA6,C1FA1,C1FA5,C1FA7,C1FA9,C5N2,C4E5,C5N1,C5N3,C4E4,C4E2,C4E1,C6I3,C3A1,C2PU3,C2PU4,C2PU2,C2PU1,C3A3,C3A4,C3A5,C3A2
4,3,4,2,3,2,4,2,2,3,1,1,2,1,4,2,1,4,3,4,1,1,4,2,4,2
5,6,5,3,4,3,5,3,3,3,3,3,3,2,5,3,2,5,7,6,2,2,7,7,6,2
4,3,4,4,4,3,4,3,4,5,3,2,4,4,4,4,4,4,4,3,4,4,3,5,3,4
5,4,5,5,3,5,5,4,5,4,4,4,5,4,5,5,5,5,4,4,5,4,4,5,4,3
6,6,5,4,4,4,6,4,4,4,4,4,5,4,6,3,4,4,6,6,4,4,6,6,6,4
6,6,7,7,6,5,6,6,7,7,5,5,7,5,6,5,5,7,6,6,4,6,6,7,6,6
5,5,4,3,4,3,5,3,3,3,3,2,4,3,5,3,2,4,6,5,3,5,6,5,5,5
2,5,3,4,4,4,2,3,3,3,5,5,3,5,2,3,6,4,7,5,5,5,4,7,4,5
5,4,4,5,4,4,6,4,5,4,4,3,5,4,6,4,4,3,4,3,4,3,5,4,3,2
4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,3
5,5,4,5,4,4,5,4,5,5,4,5,5,4,5,4,5,4,4,5,5,4,4,3,6,4
6,4,4,3,3,4,5,4,3,3,4,4,3,4,5,3,3,5,4,3,4,4,4,4,3,4
4,5,5,4,4,4,3,4,4,3,5,5,5,5,3,4,5,5,5,4,6,5,5,6,4,5
4,5,5,3,5,4,4,4,3,3,4,3,3,4,4,4,4,5,5,5,4,4,5,4,5,4
5,7,6,5,4,3,5,3,6,6,3,2,6,3,5,2,3,6,7,7,4,3,7,7,7,3
6,7,6,5,5,5,6,6,5,4,6,6,5,6,7,6,6,6,7,6,6,6,7,7,6,6
3,2,4,3,4,4,3,4,3,4,5,4,3,5,2,3,5,5,2,1,6,5,2,2,1,5
7,7,5,6,5,5,7,6,6,5,6,6,6,6,7,6,7,5,7,6,6,6,6,7,6,6
5,6,6,4,5,5,4,4,4,4,5,5,4,5,5,4,5,6,6,7,5,5,6,6,7,5
5,6,5,5,6,6,6,6,5,6,6,6,5,6,7,6,6,5,5,6,6,6,6,5,6,6
5,5,5,6,4,4,6,5,6,6,5,5,6,5,6,6,5,6,5,6,5,5,4,5,6,6
7,6,7,5,6,6,7,6,5,4,7,7,4,6,7,6,6,7,6,6,6,7,6,6,6,7
5,6,4,5,5,5,5,5,5,6,5,4,5,4,5,4,4,4,6,6,5,4,5,6,5,4
4,4,5,4,4,4,4,3,4,4,3,3,4,2,4,4,2,5,5,3,3,3,5,4,3,3
6,5,6,4,3,4,6,4,4,5,4,3,4,5,6,3,4,7,5,4,4,4,5,6,4,4
6,5,5,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,5,4,5,5,4,5,4,5
5,5,5,3,2,4,5,5,3,3,5,5,4,6,5,5,6,5,5,4,4,6,5,4,5,6
5,5,5,3,3,4,5,3,4,3,4,4,4,4,5,3,3,5,5,5,5,4,6,5,5,4
6,7,5,5,5,5,6,6,4,4,5,5,4,5,6,5,5,5,7,7,4,6,7,7,7,6
4,3,5,4,3,4,3,3,4,3,5,5,5,5,3,3,5,5,2,3,5,5,3,2,3,5
5,5,3,4,3,3,5,3,3,3,3,2,3,3,4,2,3,3,4,5,3,3,5,4,4,3
5,6,6,3,5,4,5,4,3,2,4,5,2,5,5,3,5,6,6,6,4,4,5,6,6,4
6,6,4,3,2,3,7,3,3,2,3,3,2,3,6,3,3,4,5,6,3,3,6,5,5,2
3,3,3,4,3,2,4,3,4,4,2,3,4,1,4,3,1,3,3,3,2,2,3,4,4,2
5,5,6,4,4,4,5,4,4,4,3,3,3,2,5,4,3,6,5,5,3,2,5,6,5,2
6,6,5,5,5,5,6,5,5,5,4,3,4,4,7,5,4,5,5,6,4,3,5,5,6,3
6,5,5,2,2,3,7,4,1,1,3,3,1,3,6,4,4,5,5,4,3,3,5,5,4,4
6,7,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,7,7,6,5,5,7,6,6,5
6,6,5,6,6,6,6,6,6,6,6,6,6,7,6,6,7,5,6,6,6,7,6,5,6,7
4,4,4,4,4,5,4,6,4,4,6,6,4,6,5,6,7,3,4,4,6,6,3,4,4,5
5,6,6,3,3,4,4,4,4,3,4,5,5,4,4,4,4,6,6,6,4,4,6,6,6,4
6,6,6,4,4,5,5,5,5,5,5,4,5,4,4,4,4,6,6,7,6,4,6,6,7,5
5,5,5,3,4,3,5,3,3,4,2,2,3,2,5,4,2,6,5,4,2,3,5,4,4,3
5,5,5,4,5,5,5,5,3,3,6,6,4,6,5,4,6,4,5,5,6,6,5,5,5,7
5,5,5,4,5,7,5,7,3,4,6,7,2,6,5,7,7,5,5,5,6,6,5,4,4,7
6,5,4,7,5,5,7,5,6,7,6,7,6,6,7,6,6,3,5,6,6,5,4,5,5,5
6,6,7,5,5,4,6,4,5,5,4,5,5,4,7,4,5,7,6,7,4,4,6,6,6,3
4,4,5,3,4,3,4,3,3,4,3,3,3,3,4,2,3,5,5,4,3,4,4,5,4,3
3,4,5,3,4,3,3,2,3,3,2,2,3,2,4,2,2,5,4,3,2,3,4,3,3,3
6,5,5,5,6,5,6,5,5,5,5,4,5,5,6,5,4,5,5,5,5,5,4,4,5,5
4,4,4,6,5,4,5,4,6,6,4,4,6,4,5,5,4,3,4,4,3,4,4,4,4,5
6,6,6,6,7,5,7,5,6,6,5,5,7,5,7,5,6,6,6,6,5,5,7,5,6,6
5,4,4,2,3,4,4,5,2,2,5,5,2,5,5,4,5,4,4,4,5,5,4,4,5,6
5,5,5,3,5,4,4,4,3,3,4,4,3,5,3,4,5,5,5,5,3,5,5,5,5,5
5,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,4,6,6,4,4
5,4,5,4,3,4,5,4,4,4,4,3,4,4,5,5,4,5,4,3,4,4,4,4,3,5
4,3,4,5,4,4,3,3,6,6,4,4,6,4,3,3,4,4,3,2,3,4,3,3,2,4
6,6,5,5,5,6,6,6,6,7,6,6,6,6,6,5,7,5,7,7,6,6,6,7,7,7
5,4,5,4,5,5,6,5,5,5,5,6,5,6,5,5,6,5,4,4,5,7,4,4,4,7
4,4,5,4,3,4,3,3,4,4,3,3,4,3,3,2,3,5,4,4,3,3,3,4,4,3
7,5,7,4,3,3,7,3,4,3,3,2,5,1,6,4,1,7,5,5,3,1,6,5,5,1
5,5,6,4,6,5,5,4,4,4,4,4,4,3,5,4,3,7,4,6,4,3,6,3,6,4
3,5,4,2,3,3,4,3,1,1,3,3,1,3,3,3,3,4,5,5,3,4,4,6,5,3
6,5,6,3,5,4,6,4,3,3,4,3,3,4,6,4,4,6,5,5,4,3,5,5,6,4
5,4,4,4,4,2,5,2,4,4,2,2,5,2,5,1,2,5,4,4,1,2,4,4,4,2
5,6,7,6,5,5,5,4,6,6,5,6,6,4,4,5,4,7,5,6,6,3,6,5,6,3
6,5,4,5,5,5,7,5,6,6,5,6,5,5,7,5,5,4,5,5,5,4,4,4,6,4
4,5,3,2,4,4,4,4,3,3,3,3,2,3,4,3,4,3,5,4,4,4,6,5,3,4
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,4,5,5
7,5,6,4,5,5,7,5,4,3,5,5,4,5,7,5,5,6,4,4,5,5,4,4,4,5
4,4,3,3,3,3,3,4,3,3,3,4,2,4,3,4,4,3,4,5,4,4,4,4,5,5
3,4,4,2,2,2,3,2,2,3,2,3,2,2,3,2,1,4,3,4,2,2,4,3,4,2
4,4,3,3,3,5,4,5,3,3,5,5,4,5,4,5,4,3,4,4,5,6,3,4,4,7
4,6,4,4,4,5,4,5,4,4,4,5,4,4,5,5,4,4,6,5,3,5,5,6,5,5
6,5,6,4,6,5,7,5,5,4,5,5,5,5,6,6,5,7,5,5,5,5,4,5,6,6
4,4,5,3,4,4,3,4,3,2,4,4,2,5,3,4,5,5,4,4,4,5,4,4,4,5
5,6,5,5,5,4,4,4,6,6,5,5,5,5,4,4,4,4,5,6,5,5,6,5,5,4
7,7,7,6,5,7,7,7,6,7,7,7,6,6,7,7,7,6,7,7,7,6,7,7,7,6
6,5,4,5,5,5,6,5,4,4,5,5,4,6,7,5,6,4,5,5,5,6,5,6,5,6
5,4,5,4,4,5,6,5,4,5,5,5,3,4,6,5,4,5,4,4,5,4,4,4,3,4
4,6,6,5,5,3,4,3,5,5,2,2,5,2,4,4,1,6,6,6,1,2,6,6,5,2
6,6,6,4,4,3,7,3,3,3,3,3,3,3,7,4,3,5,6,6,3,3,6,7,6,3
4,4,5,4,4,3,3,3,4,4,4,5,4,5,2,3,5,5,4,4,4,4,5,3,4,4
5,4,4,2,3,3,5,3,3,2,2,2,4,2,5,3,2,4,4,4,2,2,5,3,4,2
3,4,4,3,4,4,3,4,3,2,4,4,2,4,2,4,4,4,4,3,4,4,5,4,2,4
5,6,6,5,5,7,5,6,5,5,7,6,6,7,5,6,7,6,6,6,6,7,7,6,6,7
4,5,6,5,4,5,3,6,6,6,5,4,6,5,3,5,5,6,5,5,4,5,6,5,5,5
4,3,3,3,3,4,4,4,3,3,4,4,3,3,4,4,2,2,3,4,3,3,3,3,4,3
5,7,7,5,4,6,5,6,5,5,5,5,5,5,5,7,5,7,6,7,5,5,6,5,7,5
7,5,6,5,5,6,7,6,5,5,6,5,4,6,7,6,7,6,6,5,6,5,5,6,5,5
3,4,4,4,3,4,3,4,4,4,5,5,5,5,3,4,6,4,4,4,5,6,4,4,4,6
4,4,4,4,4,4,5,4,4,4,4,5,4,3,5,4,3,4,4,4,4,3,3,4,3,2
6,6,5,4,2,2,6,1,4,4,3,3,4,3,6,1,3,4,6,6,4,3,6,6,6,2
4,4,4,4,2,4,4,3,4,4,4,4,3,3,3,3,2,4,4,5,5,4,5,4,6,5
4,5,7,5,5,5,4,5,5,5,5,5,5,6,4,6,6,7,4,5,5,6,5,4,5,5
5,4,5,6,6,4,5,5,6,6,4,4,6,5,5,5,5,4,4,5,4,5,5,5,5,5
6,6,4,5,5,4,6,4,5,5,3,4,5,2,6,4,2,4,5,6,3,1,6,5,7,1
4,5,4,5,4,5,3,4,5,6,5,5,5,5,3,4,5,4,5,5,4,5,5,4,5,5
4,5,4,4,3,2,4,3,3,3,2,2,3,2,4,3,1,3,4,6,1,2,4,4,6,3
4,3,3,4,3,4,3,4,4,4,4,5,4,5,3,4,4,3,3,3,4,5,3,2,3,5
4,4,5,4,4,4,4,4,4,4,5,5,4,4,3,4,4,5,4,4,5,4,4,4,4,5
6,6,6,6,5,6,7,6,6,6,6,6,5,6,6,6,6,7,7,6,5,6,7,6,6,7
4,4,4,4,3,3,3,3,4,4,2,3,4,2,3,3,1,4,4,4,1,3,3,4,4,3
6,5,5,4,4,5,5,4,3,4,5,5,2,5,5,4,5,5,5,5,5,6,4,5,5,6
5,4,4,3,3,2,4,3,3,2,2,2,3,2,3,2,2,3,4,4,2,2,4,3,4,2
3,3,5,3,4,4,2,3,3,3,4,4,3,4,3,3,4,5,3,3,4,5,2,4,4,6
4,4,3,4,5,5,4,6,4,3,5,5,3,5,5,7,4,3,4,5,5,4,3,5,4,4
4,6,5,3,4,3,4,3,4,5,3,3,4,2,4,3,2,5,6,6,3,3,7,6,6,3
5,6,6,4,4,4,4,4,4,4,5,6,4,5,4,4,6,6,5,6,5,4,6,6,6,4
6,7,5,4,4,4,6,4,5,5,4,5,6,4,6,4,4,5,7,7,5,3,7,7,7,3
4,6,5,7,5,6,4,6,7,7,5,5,7,5,3,6,5,5,7,5,5,5,6,7,5,4
5,5,5,4,5,4,6,4,4,4,5,6,4,5,6,5,5,6,6,5,5,5,5,6,4,5
6,6,5,4,4,3,6,2,4,4,3,3,4,2,6,1,2,5,6,5,3,2,6,6,5,2
5,4,4,4,4,5,4,6,4,4,5,5,4,5,4,6,4,4,4,4,5,5,4,4,3,4
5,4,4,4,4,3,4,4,4,5,3,3,4,4,4,4,4,4,3,4,3,3,4,2,4,4
6,6,6,5,4,5,6,5,5,4,6,6,6,7,6,5,6,6,7,6,6,7,6,7,6,6
4,7,7,3,3,3,4,3,3,3,3,4,3,3,4,3,3,6,6,6,3,3,7,5,6,3
4,5,4,2,2,3,4,2,2,3,4,3,3,4,3,2,4,5,6,6,4,5,6,6,6,5
5,7,5,5,6,6,5,5,5,5,6,6,5,6,4,5,6,5,7,7,5,6,7,7,7,5
5,6,5,2,4,3,5,3,2,3,3,2,1,3,4,3,3,5,5,5,4,3,6,5,6,3
